Serial Number,Main Office,Branch Number,Established Date,Acquired Date,City,County,State,2010 Deposits,2011 Deposits,2012 Deposits,2013 Deposits,2014 Deposits,2015 Deposits,2016 Deposits
475,0,3432,07/01/2003,11/13/2004,Abilene,Taylor,TX,0,3,0,0,0,0,0
476,0,3434,07/01/2003,11/13/2004,Austin,Travis,TX,0,0,0,0,0,0,0
477,0,3435,07/01/2003,11/13/2004,Austin,Travis,TX,0,0,0,0,0,0,0
478,0,3436,07/01/2003,11/13/2004,Dallas,Dallas,TX,0,0,0,0,0,0,0
479,0,3437,07/01/2003,11/13/2004,Dallas,Dallas,TX,0,0,0,0,0,0,0
480,0,3438,07/01/2003,11/13/2004,Fort Worth,Tarrant,TX,0,0,0,0,0,0,0
481,0,3439,07/01/2003,11/13/2004,Houston,Harris,TX,0,0,0,0,0,0,0
482,0,3440,07/01/2003,11/13/2004,Houston,Harris,TX,0,0,0,0,0,0,0
483,0,3442,07/01/2003,11/13/2004,Marshall,Harrison,TX,0,0,0,0,0,0,0
484,0,3443,07/01/2003,11/13/2004,San Antonio,Bexar,TX,0,0,0,0,0,0,0
485,0,3444,07/01/2003,11/13/2004,Wichita Falls,Wichita,TX,0,0,0,0,0,0,0
486,0,3445,07/01/2003,11/13/2004,Wichita Falls,Wichita,TX,0,0,0,0,0,0,0
487,0,3446,07/01/2003,11/13/2004,Burton,Genesee,MI,0,0,0,0,0,0,0
488,0,3447,07/01/2003,11/13/2004,Baton Rouge,East Baton Rouge,LA,13752,15078,20804,26869,30816,32220,39893
489,0,3448,07/01/2003,11/13/2004,Baton Rouge,East Baton Rouge,LA,0,0,0,0,0,0,0
490,0,3449,07/01/2003,11/13/2004,Lake Charles,Calcasieu,LA,0,0,0,0,0,0,0
491,0,3450,07/01/2003,11/13/2004,Broussard,Lafayette,LA,9476,13370,14327,16777,32851,21423,20875
492,0,3452,07/01/2003,11/13/2004,Wheaton,DuPage,IL,40251,107815,132236,380506,421829,494071,4158
493,0,3455,07/01/2003,11/13/2004,Chicago,Cook,IL,821992,996863,1102509,9461,14467,18830,7475
494,0,3457,07/01/2003,11/13/2004,Woodstock,McHenry,IL,0,0,0,0,0,0,0
495,0,3458,07/01/2003,11/13/2004,River Forest,Cook,IL,0,0,0,0,0,0,0
496,0,3460,08/02/2004,11/13/2004,Chicago,Cook,IL,24555,28101,32894,37698,42075,44089,57255
497,0,3461,08/25/2004,11/13/2004,Fenton,Genesee,MI,30282,32752,42069,50452,60310,79322,94531
498,0,3462,08/24/2004,11/13/2004,San Antonio,Bexar,TX,24416,28641,31361,30420,32862,35228,43974
499,0,3463,08/25/2004,11/13/2004,Chicago,Cook,IL,29411,35146,45261,58820,68927,78561,89388
500,0,3464,08/27/2004,11/13/2004,Chicago,Cook,IL,13793,14774,17642,20675,21729,23713,35287
501,0,3465,08/27/2004,11/13/2004,Peoria,Maricopa,AZ,17037,19716,24485,30626,35568,43113,48107
502,0,3466,08/10/2004,11/13/2004,Spring,Harris,TX,47612,50624,63286,63857,73757,85453,95185
503,0,3467,08/11/2004,11/13/2004,Noblesville,Hamilton,IN,29611,36940,44182,51863,62291,60767,76339
504,0,3468,08/12/2004,11/13/2004,Carmel,Hamilton,IN,38764,50014,54794,70782,82714,88538,105187
505,0,3469,08/18/2004,11/13/2004,Chicago,Cook,IL,34326,42674,53901,57303,64577,75768,80823
506,0,3470,08/18/2004,11/13/2004,Chicago,Cook,IL,42935,45848,51220,63465,70627,83832,99906
507,0,3471,09/16/2004,11/13/2004,Washington Township,Macomb,MI,29225,29352,36190,40561,51515,59317,73444
508,0,3473,09/22/2004,11/13/2004,Chicago,Cook,IL,18196,21435,25386,28858,34882,36401,50688
509,0,3474,09/24/2004,11/13/2004,Chicago,Cook,IL,33730,42494,49619,53031,58324,67300,77108
510,0,3475,09/28/2004,11/13/2004,Houston,Harris,TX,53271,59830,69412,81978,93876,103776,111712
511,0,3476,10/06/2004,11/13/2004,Chicago,Cook,IL,20823,22830,25998,28677,30600,36615,40309
512,0,3477,10/05/2004,11/13/2004,Sugar Land,Fort Bend,TX,40073,47421,51864,60469,74535,83782,90804
513,0,3478,10/20/2004,11/13/2004,Murphy,Collin,TX,27021,35787,43991,55303,74959,89907,107792
514,0,3479,10/26/2004,11/13/2004,Roanoke,Denton,TX,23393,27296,31159,38691,51827,60586,65838
515,0,3480,10/28/2004,11/13/2004,Tempe,Maricopa,AZ,24075,24917,30956,37101,41252,50028,55783
516,0,3481,11/13/2004,,Columbus,Franklin,OH,4916291,5986462,6114913,6447273,7142562,6915884,8142300
517,0,3482,11/04/2004,,Schaumburg,Cook,IL,29042,31045,42686,44659,55050,54140,59773
518,0,3484,11/03/2004,,North Riverside,Cook,IL,24042,26575,31736,35894,38285,41256,46067
519,0,3485,11/18/2004,,Chicago,Cook,IL,25401,29492,35183,41461,46059,53024,58088
520,0,3486,11/17/2004,,Chicago,Cook,IL,12967,15976,17986,22520,26552,30928,35817
521,0,3488,10/06/2004,,Arlington,Tarrant,TX,18727,21451,24611,28909,38675,55848,86970
522,0,3489,12/14/2004,,Columbus,Franklin,OH,41251,48253,52059,57020,62833,70182,75243
523,0,3490,12/14/2004,,Gilbert,Maricopa,AZ,22809,22312,30442,34374,38874,46045,55228
524,0,3492,12/16/2004,,Dallas,Dallas,TX,58110,61984,72125,84305,89488,107910,124230
525,0,3494,12/15/2004,,Scottsdale,Maricopa,AZ,22641,28403,34098,35110,38875,45502,46840
526,0,3495,12/16/2004,,Mesa,Maricopa,AZ,13827,14903,18686,21717,23745,25609,32134
527,0,3496,12/15/2004,,Chicago,Cook,IL,16423,16915,18968,20059,32055,34636,38884
528,0,3497,12/06/2004,,Wheaton,DuPage,IL,0,0,0,0,0,0,0
529,0,3498,12/07/2004,,Chicago,Cook,IL,7465,8625,10666,13193,14970,17449,19968
530,0,3499,12/07/2004,,Plano,Collin,TX,35548,41703,44274,52628,52463,59987,68045
531,0,3500,12/07/2004,,Chicago,Cook,IL,15968,20934,28619,32954,87815,105490,120748
532,0,3501,01/31/2005,,Tampa,Hillsborough,FL,12038,14590,32804,23738,22059,18026,18001
533,0,3502,01/31/2005,,Merrillville,Lake,IN,33827,39414,42701,49153,50029,64920,57390
534,0,3503,12/29/2004,,Greenfield,Hancock,IN,34533,35986,41931,47466,53247,58854,65360
535,0,3504,12/28/2004,,Humble,Harris,TX,70916,76436,83945,93076,102829,117663,124987
536,0,3505,12/29/2004,,Chicago,Cook,IL,40712,62417,66155,86920,93108,97999,120574
537,0,3506,12/29/2004,,West Chester,Butler,OH,49668,50331,58826,72999,81250,90999,97672
538,0,3507,12/21/2004,,Oak Lawn,Cook,IL,44420,50197,57701,67260,75200,77026,84912
539,0,3508,12/22/2004,,Fort Worth,Tarrant,TX,20885,23428,29474,35750,43219,45602,51473
540,0,3509,12/22/2004,,Chicago,Cook,IL,28008,34049,37482,44373,52084,59339,70652
541,0,3511,12/20/2004,,Tampa,Hillsborough,FL,11373,13232,15176,18773,20647,21744,23267
542,0,3512,01/27/2005,,Chicago,Cook,IL,19749,22902,30236,33280,40303,46517,55086
543,0,3513,02/24/2005,,Evanston,Cook,IL,26566,31002,39994,45152,55279,64897,75975
544,0,3514,02/24/2005,,Gilbert,Maricopa,AZ,27697,27400,31053,37282,53016,73023,79460
545,0,3515,02/23/2005,,Chicago,Cook,IL,30743,36183,39877,47969,47063,74601,82380
546,0,3516,02/09/2005,,Spring,Harris,TX,57686,63309,53844,55574,70507,87829,98384
547,0,3517,12/20/2004,,Elmhurst,Queens,NY,49361,55290,67511,88388,103231,116169,137377
548,0,3520,12/30/2004,,Linden,Union,NJ,13363,21632,29860,31983,34785,33243,30172
549,0,3521,12/13/2004,,Manhasset,Nassau,NY,180697,177467,196341,218028,244757,241841,263052
550,0,3523,03/17/2005,,Streamwood,Cook,IL,33971,39225,48399,58692,68783,78858,89381
551,0,3524,03/16/2005,,Surprise,Maricopa,AZ,24162,29887,38883,47201,54343,74096,83967
552,0,3525,03/16/2005,,Chicago,Cook,IL,34683,42795,50971,59769,66729,74805,81860
553,0,3526,03/14/2005,,Covington,St. Tammany,LA,44258,47438,50182,55344,59811,67546,74871
554,0,3527,03/29/2005,,Carrollton,Denton,TX,14390,18959,23315,28098,31539,37355,52473
555,0,3528,03/31/2005,,Columbus,Franklin,OH,8802,10613,12924,15219,17512,18264,19357
556,0,3529,03/31/2005,,Franklin Square,Nassau,NY,52656,44575,45301,55504,60703,71637,79695
557,0,3530,03/28/2005,,Galloway,Franklin,OH,24015,27076,31580,33186,36002,39057,44421
558,0,3531,04/28/2005,,Montvale,Bergen,NJ,50100,51495,60467,64794,81621,79595,98227
559,0,3532,04/28/2005,,Oswego,Kendall,IL,24131,36149,40774,41339,42560,35805,39328
560,0,3533,04/28/2005,,Kearny,Hudson,NJ,15123,19384,19959,24610,29036,30949,36124
561,0,3534,04/29/2005,,Sugar Land,Fort Bend,TX,80403,83156,99118,115100,122453,126914,127467
562,0,3535,04/20/2005,,Westminster,Jefferson,CO,19952,20515,23719,26914,32544,39395,53197
563,0,3536,04/18/2005,,New York City,New York,NY,64763,102498,113100,122949,140504,157884,164357
564,0,3537,05/25/2005,,Palatine,Cook,IL,69762,82374,99183,114237,128355,149415,172959
565,0,3538,05/26/2005,,Prescott,Yavapai,AZ,21691,24711,24976,29242,28258,28974,38052
566,0,3539,05/19/2005,,Katy,Harris,TX,22693,28236,35298,41878,48488,51694,58913
567,0,3541,05/16/2005,,New York City,New York,NY,148351,163606,224499,257894,272931,301037,343465
568,0,3542,05/19/2005,,Greeley,Weld,CO,16601,20577,26154,32542,39281,49433,60247
569,0,3547,11/08/2004,,Katy,Fort Bend,TX,52107,68757,84294,107836,133634,152974,173517
570,0,3548,07/06/2004,,North Richland Hills,Tarrant,TX,44444,47069,58540,60520,72251,79852,83538
571,0,3549,07/01/2004,,Mckinney,Collin,TX,29279,32766,43209,58460,72620,77921,93447
572,0,3551,12/06/2004,,Austin,Travis,TX,29995,28928,30721,36132,40859,46252,59198
573,0,3552,06/22/2005,,Tomball,Harris,TX,16706,18581,21126,23825,31902,34666,40280
574,0,3553,06/16/2005,,Pearland,Brazoria,TX,25743,27247,33006,41048,45483,48386,60393
575,0,3555,11/10/2004,,Fishers,Hamilton,IN,35876,43091,50253,61698,66661,73503,79138
576,0,3556,11/01/2004,,Chicago,Cook,IL,9774,10745,11960,14442,13696,14755,16373
577,0,3557,09/09/2004,,Chicago,Cook,IL,24154,27387,35489,43878,46461,52171,57279
578,0,3559,06/30/2005,,Lake Bluff,Lake,IL,18466,22454,25035,27695,32901,40953,45639
579,0,3560,06/08/2005,,Naperville,Will,IL,47210,54890,72807,84598,100148,106865,120107
580,0,3561,06/09/2005,,Chicago,Cook,IL,23782,29874,33555,38188,43146,46392,52798
581,0,3562,09/07/2004,,Chicago,Cook,IL,54902,55216,65266,77765,85480,92094,104277
582,0,3563,12/01/2004,,Chicago,Cook,IL,39962,47027,54522,63322,72842,83010,93924
583,0,3565,12/02/2004,,Northbrook,Cook,IL,54625,62352,64283,68493,77424,80877,88698
584,0,3567,11/02/2004,,Chicago,Cook,IL,45853,52355,70536,83662,96264,117432,132583
585,0,3568,06/29/2005,,Glendale,Maricopa,AZ,37881,43056,55673,64344,68162,75349,88975
586,0,3569,06/30/2005,,Phoenix,Maricopa,AZ,9699,12807,14904,20925,19392,19309,24319
587,0,3570,07/01/2004,,Mesa,Maricopa,AZ,15177,17025,21167,25310,28044,32002,35600
588,0,3571,06/30/2005,,Peoria,Maricopa,AZ,17467,21621,24822,27726,31357,33302,38531
589,0,3572,12/02/2004,,Tucson,Pima,AZ,24183,25841,30068,35777,40700,45715,49622
590,0,3573,06/06/2005,,Bloomfield Hills,Oakland,MI,188653,208432,238405,250569,260828,277094,308073
591,0,3574,04/28/2005,,Red Bank,Monmouth,NJ,64956,69909,74386,78837,89321,86343,94213
592,0,3575,06/28/2005,,Westwood,Bergen,NJ,71253,69526,72111,76412,78183,93894,140797
593,0,3576,07/28/2005,,Lakewood,Jefferson,CO,25899,34172,39744,57944,55533,53219,63004
594,0,3577,08/02/2005,,Chicago,Cook,IL,17799,21982,28506,33600,36198,40716,44265
595,0,3578,07/18/2005,,Chandler,Maricopa,AZ,69220,69144,85298,94450,93626,97406,107192
596,0,3579,07/14/2005,,Littleton,Jefferson,CO,29045,32647,36254,36377,38794,47520,53508
597,0,3580,09/09/2005,,Mishawaka,St. Joseph,IN,20940,24949,27870,35842,43765,52934,70636
598,0,3581,08/29/2005,,Tucson,Pima,AZ,10329,13329,17649,19593,22431,25142,27159
599,0,3582,09/23/2005,,Queens Village,Queens,NY,21389,20738,29316,27620,36605,76850,82402
600,0,3583,09/21/2005,,Chicago,Cook,IL,68182,85896,98787,120113,175588,195151,221328
601,0,3584,09/20/2005,,Tucson,Pima,AZ,24135,31969,30478,35423,37115,42966,48192
602,0,3586,11/13/2004,,New York City,New York,NY,153577328,194388000,207367988,223395353,241540582,261292750,313686851
603,0,3587,09/29/2005,,Plainfield,Union,NJ,8995,9410,11260,13494,14393,15835,17713
604,0,3588,10/05/2005,,Buckeye,Maricopa,AZ,15151,18778,20316,22339,24904,28758,36678
605,0,3589,10/04/2005,,Laurelton,Queens,NY,16094,16690,23249,25328,30924,36324,60907
606,0,3590,10/10/2005,,Houston,Harris,TX,21293,25307,29367,32555,39591,43386,48517
607,0,3591,10/10/2005,,Georgetown,Williamson,TX,23255,28831,37596,46903,54768,63642,87236
608,0,3592,10/17/2005,,New York City,New York,NY,307740,359920,413440,434255,500379,467639,533276
609,0,3593,10/18/2005,,Fox Lake,Lake,IL,20854,23720,27105,31142,52532,52516,59814
610,0,3594,10/17/2005,,Colleyville,Tarrant,TX,69094,80161,78210,102290,103025,107669,128187
611,0,3595,10/17/2005,,New York City,New York,NY,103925,94741,95674,112163,139714,155387,183659
612,0,3596,10/18/2005,,Round Rock,Williamson,TX,12672,15726,17405,25861,28698,33247,36222
613,0,3597,11/01/2005,,New York City,New York,NY,18772,20140,24692,29884,34932,40803,46831
614,0,3598,11/16/2005,,Chicago,Cook,IL,23876,31217,40612,55215,117185,128275,155723
615,0,3600,11/16/2005,,Orland Park,Cook,IL,42107,50432,62315,71998,80179,83675,91980
616,0,3601,11/17/2005,,Waco,McLennan,TX,217790,43175,25467,27311,31240,33873,40972
617,0,3602,11/17/2005,,Chandler,Maricopa,AZ,35656,39048,50400,69920,73255,83495,104634
618,0,3603,11/17/2005,,Westfield,Hamilton,IN,15240,18316,18032,20930,24050,27577,29258
619,0,3605,11/16/2005,,Scottsdale,Maricopa,AZ,39518,44491,53670,61811,60663,71042,95178
620,0,3607,11/23/2005,,Aurora,Arapahoe,CO,20919,25690,30059,33578,40722,46973,54508
621,0,3608,11/25/2005,,Richmond Hill,Queens,NY,41204,46827,51188,57415,62590,69387,80521
622,0,3609,11/22/2005,,Bee Cave,Travis,TX,33624,37993,40926,53542,63400,76264,89595
623,0,3610,12/01/2005,,San Antonio,Bexar,TX,34591,34155,38745,44244,54572,64264,74840
624,0,3611,11/20/2005,,New York City,New York,NY,52285,58253,67740,100357,96375,118696,147457
625,0,3612,11/30/2005,,New York City,New York,NY,119382,151195,186547,226982,268446,273078,337090
626,0,3613,12/01/2005,,Hutto,Williamson,TX,8706,9727,11283,12750,13408,14613,16021
627,0,3614,11/29/2005,,Katy,Harris,TX,15543,17480,22131,23905,27204,30786,36854
628,0,3615,11/30/2005,,Goshen,Orange,NY,28468,28866,41002,33895,39673,42145,123887
629,0,3617,11/29/2005,,Glen Head,Nassau,NY,58228,55589,65466,92048,93858,118576,128365
630,0,3618,12/01/2005,,Georgetown,Williamson,TX,13459,15136,20489,23904,24557,28322,30560
631,0,3619,12/01/2005,,East Norwich,Nassau,NY,66968,69594,69091,89929,105996,108930,129251
632,0,3620,12/15/2005,,Grand Blanc,Genesee,MI,31906,35208,49047,49468,58450,71864,86494
633,0,3621,12/12/2005,,Chandler,Maricopa,AZ,20653,24995,31702,36787,48391,57744,62712
634,0,3623,12/12/2005,,Brooklyn,Kings,NY,38517,47266,58475,68727,78112,89341,109009
635,0,3624,12/14/2005,,New York City,New York,NY,90334,108987,128298,132326,150005,263483,313002
636,0,3625,12/16/2005,,Perth Amboy,Middlesex,NJ,19111,20821,24981,30264,31209,32351,38745
637,0,3628,12/15/2005,,College Station,Brazos,TX,70938,63773,71848,83876,102994,127461,152600
638,0,3629,12/14/2005,,Long Branch,Monmouth,NJ,33671,34760,41781,47315,51673,51099,62561
639,0,3631,12/30/2005,,Chicago,Cook,IL,32019,36732,47396,58261,66021,72526,83485
640,0,3632,12/30/2005,,New York City,New York,NY,75152,86608,111976,130490,159675,163240,209959
641,0,3633,12/27/2005,,Goodyear,Maricopa,AZ,21294,21394,22106,33048,35615,41003,47195
642,0,3634,12/28/2005,,Canal Winchester,Franklin,OH,18281,20058,23062,27813,29617,33952,36931
643,0,3635,12/29/2005,,Glenwood,Cook,IL,17613,22368,27083,34591,36342,41680,46473
644,0,3636,12/29/2005,,Edison,Middlesex,NJ,53646,65083,76048,94581,106969,128891,144593
645,0,3637,12/29/2005,,New York City,New York,NY,54055,60690,63551,77433,65127,67490,78869
646,0,3638,12/28/2005,,Bohemia,Suffolk,NY,16294,14029,20818,19718,20234,22862,23038
647,0,3639,12/29/2005,,Plano,Collin,TX,41606,50827,61798,70121,78726,88549,103760
648,0,3640,12/27/2005,,Carmel,Hamilton,IN,25455,34985,47362,59270,67342,69582,73534
649,0,3642,12/30/2005,,Saint Clair Shores,Macomb,MI,27252,32613,41607,51969,56573,60312,65713
650,0,3643,12/29/2005,,Troy,Oakland,MI,29035,35521,75216,80064,69579,79105,82522
651,0,3644,12/29/2005,,Tarrytown,Westchester,NY,13689,17777,18479,19146,31259,31312,42037
652,0,3645,12/29/2005,,Austin,Travis,TX,32222,30443,36954,47837,62830,67518,84326
653,0,3646,12/29/2005,,Houston,Harris,TX,46652,58632,80488,92128,105951,121976,132354
654,0,3647,12/29/2005,,Houston,Harris,TX,33082,35322,39991,44999,94000,101666,112466
655,0,3648,12/27/2005,,Humble,Harris,TX,18495,23785,31266,41854,47643,49965,54432
656,0,3649,12/29/2005,,New York City,New York,NY,38112,43923,56356,74940,90607,163690,195313
657,0,3650,12/28/2005,,Hamilton,Mercer,NJ,27496,27576,34571,43139,50618,53342,60862
658,0,3651,12/30/2005,,Pennington,Mercer,NJ,20643,26011,31809,41381,46160,49352,54038
659,0,3652,12/28/2005,,New York City,New York,NY,89091,82025,79668,92889,110400,116970,125481
660,0,3653,12/27/2005,,New York City,New York,NY,81423,88175,98727,108412,118058,137910,135268
661,0,3657,12/27/2005,,New York City,New York,NY,68242,87636,110523,123564,191563,178725,216358
662,0,3658,12/21/2005,,Pickerington,Fairfield,OH,17194,18395,23496,24399,27684,29775,34597
663,0,3659,12/21/2005,,New York City,New York,NY,95906,121828,110901,140681,137811,185721,192730
664,0,3660,12/22/2005,,Chicago,Cook,IL,44184,62387,73042,95745,117726,150084,183322
665,0,3661,12/19/2005,,New York City,New York,NY,41537,52930,60782,80803,88558,108574,131325
666,0,3662,12/23/2005,,New York City,New York,NY,48649,53480,71646,79837,86011,117038,137976
667,0,3663,12/21/2005,,Chicago,Cook,IL,16867,20805,26315,32800,41142,67890,82428
668,0,3664,12/19/2005,,Long Island City,Queens,NY,32996,38922,50551,48367,54358,68503,87717
669,0,3665,12/22/2005,,Brooklyn,Kings,NY,91392,93887,105187,112010,126858,135594,147865
670,0,3666,12/20/2005,,New York City,New York,NY,202312,228723,243750,305686,313033,273982,333751
671,0,3667,12/23/2005,,New York City,New York,NY,42605,56514,72615,84287,92618,107516,112761
672,0,3668,12/22/2005,,New York City,New York,NY,15539,16574,21087,21182,22371,27262,31139
673,0,3670,12/22/2005,,Neptune,Monmouth,NJ,16509,20034,23697,42317,44869,48107,53655
674,0,3672,12/22/2005,,Yonkers,Westchester,NY,13248,14789,22674,20610,19949,20868,22849
675,0,3676,10/24/2005,,Little Elm,Denton,TX,18829,23348,28921,35181,40503,47373,57471
676,0,3677,10/24/2005,,Farmingdale,Nassau,NY,25092,52289,56079,60004,64652,69921,77084
677,0,3678,10/27/2005,,Chicago,Cook,IL,43402,36187,49886,43364,47114,53734,65836
678,0,3679,10/27/2005,,Chicago,Cook,IL,19108,25570,32006,41760,53591,69671,84224
679,0,3680,10/27/2005,,Dallas,Dallas,TX,13272,15041,18080,20851,24023,28563,33821
680,0,3681,11/09/2005,,Denver,Denver,CO,29488,38397,43075,50449,60152,70133,86091
681,0,3682,11/09/2005,,Chandler,Maricopa,AZ,41023,49012,54225,61770,76826,114042,122728
682,0,3683,12/30/2005,,Scottsdale,Maricopa,AZ,31473,30549,34988,37283,40312,40854,45054
683,0,3684,01/09/2006,,Garland,Dallas,TX,63730,68557,76651,84870,90557,489714,3764612
684,0,3685,01/17/2006,,Brooklyn,Kings,NY,85400,91578,99536,99579,106680,109606,118746
685,0,3687,03/28/2006,,Laveen,Maricopa,AZ,20458,21174,28661,35125,37510,41387,47083
686,0,3688,03/16/2006,,Arvada,Jefferson,CO,10644,12161,15860,16502,18390,22643,24060
687,0,3690,03/31/2006,,Westchester,Cook,IL,40061,44362,51307,57870,62419,63827,66504
688,0,3694,04/10/2006,,Maricopa,Pinal,AZ,16565,24424,30546,35598,38018,42088,51458
689,0,3695,04/19/2006,,Gilbert,Maricopa,AZ,14633,22487,28705,37508,39015,45889,48743
690,0,3696,04/20/2006,,Arvada,Jefferson,CO,17070,16369,19486,20031,21758,25466,80038
691,0,3698,05/01/2006,,Fort Worth,Tarrant,TX,61800,67827,78770,85132,93628,97253,116371
692,0,3700,05/03/2006,,Millburn,Essex,NJ,99267,134003,170213,190475,194190,204693,234945
693,0,3701,05/02/2006,,Scottsdale,Maricopa,AZ,30255,38652,48011,60402,72613,78493,94935
694,0,3702,04/26/2006,,Laredo,Webb,TX,28647,31389,38680,45361,45512,47923,43128
695,0,3703,04/26/2006,,Flower Mound,Denton,TX,33085,37293,49491,64029,73476,80820,99312
696,0,3704,04/27/2006,,Lakewood,Jefferson,CO,20962,25466,33314,37811,46988,57635,55710
697,0,3705,05/08/2006,,Columbus,Franklin,OH,13440,13730,20120,20204,21312,24356,31251
698,0,3706,05/09/2006,,Streetsboro,Portage,OH,14239,15935,18374,20934,23373,26149,28817
699,0,3707,05/09/2006,,Mansfield,Tarrant,TX,22223,28791,34535,40193,41753,49262,53812
700,0,3708,05/11/2006,,Converse,Bexar,TX,8883,11650,13457,14304,16743,19154,22048
701,0,3710,05/23/2006,,Hilliard,Franklin,OH,14415,18135,22374,21519,26101,28862,35222
702,0,3713,04/05/2006,,Frisco,Collin,TX,19009,24771,28315,31548,37297,45293,49549
703,0,3714,07/01/2005,,The Colony,Denton,TX,34616,35109,42851,44995,52490,62634,71494
704,0,3716,06/15/2006,,Tuckahoe,Westchester,NY,19441,21506,21201,28543,27966,27184,31478
705,0,3717,06/29/2006,,Brooklyn,Kings,NY,45719,53925,69385,83554,93457,99179,130862
706,0,3718,06/06/2006,,New York City,New York,NY,54938,70110,73371,79545,93089,118096,159753
707,0,3719,08/25/2005,,Flushing,Queens,NY,52878,54753,59497,67461,71853,82809,100051
708,0,3720,08/25/2005,,Taylorsville,Salt Lake,UT,23856,20485,22124,25118,27107,32849,32891
709,0,3722,06/29/2006,,Klein,Harris,TX,49504,45696,54713,60508,65703,73238,81258
710,0,3723,06/27/2006,,Mission,Hidalgo,TX,21823,27101,37322,48264,54107,57333,67002
711,0,3731,12/29/2005,,Calumet City,Cook,IL,31408,36197,42291,44903,48660,52654,59535
712,0,3732,12/06/2005,,Olympia Fields,Cook,IL,20065,23049,27537,29648,30827,37161,41376
713,0,3733,06/15/2006,,San Tan Valley,Pinal,AZ,16581,21089,26786,30968,37836,44752,49162
714,0,3734,06/29/2006,,Ewing,Mercer,NJ,9013,10564,20366,17868,18881,21108,26395
715,0,3735,03/29/2006,,Hammond,Tangipahoa,LA,23639,31630,33644,44003,58986,58910,53665
716,0,3737,08/28/2006,,Pasadena,Harris,TX,74415,69484,76094,80831,86417,94233,106384
717,0,3740,09/06/2006,,Buda,Hays,TX,16368,18452,20969,22350,27503,32128,36191
718,0,3741,09/13/2006,,Caledonia,Kent,MI,11559,15292,17802,19242,21813,23698,32146
719,0,3742,09/14/2006,,Aurora,Kane,IL,23603,26183,31918,36670,40355,45752,50853
720,0,3743,09/14/2006,,Bexley,Franklin,OH,23354,24416,28832,38829,46474,45564,53614
721,0,3744,09/14/2006,,Crestwood,Cook,IL,28504,35493,42435,48635,56154,61424,66866
722,0,3745,09/21/2006,,Glendale,Maricopa,AZ,10177,11697,15175,27359,29305,32221,36473
723,0,3746,09/27/2006,,Austin,Travis,TX,12456,16943,29326,29470,26303,31036,34206
724,0,3747,09/25/2006,,Wilmette,Cook,IL,37633,44583,62646,75679,85793,93740,101343
725,0,3748,09/28/2006,,Westminster,Broomfield,CO,21376,31109,35266,39525,42129,53363,71470
726,0,3751,07/20/2006,,Aurora,Arapahoe,CO,23403,27435,34204,29964,35211,43735,49440
727,0,3752,07/19/2006,,Greenwood,Johnson,IN,14560,16068,19593,22826,24380,27668,32042
728,0,3753,07/05/2006,,Warren,Macomb,MI,20864,26597,35086,34248,38120,42400,51056
729,0,3754,07/13/2006,,Denver,Denver,CO,13259,17158,21800,26779,32535,39658,48839
730,0,3755,07/11/2006,,East Grand Rapids,Kent,MI,26292,30346,40768,48602,58648,64279,75648
731,0,3756,07/31/2006,,New York City,New York,NY,274988,293706,308520,337764,363635,402531,408087
732,0,3758,08/09/2006,,Ypsilanti,Washtenaw,MI,24424,29176,36056,46345,54527,67490,75197
733,0,3761,04/18/1927,10/01/2006,New York City,New York,NY,102098,111553,120889,156407,158202,198611,213162
734,0,3763,07/01/1938,10/01/2006,New York City,New York,NY,934034,951170,952156,1002316,1047649,1098648,1158172
735,0,3765,09/09/1957,10/01/2006,New York City,New York,NY,199542,225312,315875,351514,368835,407720,466017
736,0,3766,10/07/1969,10/01/2006,New York City,New York,NY,81893,95014,102416,112085,137502,196281,196743
737,0,3768,06/01/1961,10/01/2006,New York City,New York,NY,162164,213664,264688,304462,341355,371035,421864
738,0,3772,07/01/1903,10/01/2006,White Plains,Westchester,NY,83732,97051,122387,137203,146185,148886,159187
739,0,3773,01/31/1955,10/01/2006,Ardsley,Westchester,NY,57620,60117,60571,63365,71971,76317,83452
740,0,3775,01/13/1964,10/01/2006,Brewster,Putnam,NY,48002,50715,61172,67280,67142,84623,92661
741,0,3777,05/01/1953,10/01/2006,Croton-On-Hudson,Westchester,NY,77750,82443,96107,109568,108991,119238,132342
742,0,3778,10/31/1955,10/01/2006,Dobbs Ferry,Westchester,NY,72091,78105,85221,93824,96273,107020,120815
743,0,3779,10/31/1955,10/01/2006,Elmsford,Westchester,NY,44973,44346,47753,55666,63538,69385,72595
744,0,3781,01/10/1966,10/01/2006,Harrison,Westchester,NY,145020,139699,137216,145246,143583,146112,157955
745,0,3782,02/27/1941,10/01/2006,Hastings-On-Hudson,Westchester,NY,46028,45986,59601,68237,74704,79594,96527
746,0,3783,05/31/1955,10/01/2006,Irvington,Westchester,NY,53519,57011,65652,71311,76842,82074,94382
747,0,3784,01/31/1955,10/01/2006,Katonah,Westchester,NY,76328,85236,94971,116478,105971,114041,126264
748,0,3787,03/01/1935,10/01/2006,Mamaroneck,Westchester,NY,66929,73181,84670,94111,94087,111149,195495
749,0,3788,01/26/1959,10/01/2006,Mamaroneck,Westchester,NY,35090,36864,42805,48464,55921,56791,71561
750,0,3789,01/31/1966,10/01/2006,Monticello,Sullivan,NY,31845,36628,40870,63874,57243,72112,81731
